date,location,deaths,cases
2020-04-03,Alabama,5,196
2020-04-03,Arizona,3,183
2020-04-03,Arkansas,2,59
2020-04-03,California,39,1380
2020-04-03,Colorado,18,386
2020-04-03,Connecticut,27,267
2020-04-03,Delaware,1,25
2020-04-03,District of Columbia,3,67
2020-04-03,Florida,77,2052
2020-04-03,Georgia,24,710
2020-04-03,Illinois,22,715
2020-04-03,Indiana,13,474
2020-04-03,Iowa,2,67
2020-04-03,Kansas,3,68
2020-04-03,Kentucky,13,138
2020-04-03,Louisiana,37,2725
2020-04-03,Maine,2,73
2020-04-03,Maryland,5,345
2020-04-03,Massachusetts,32,1279
2020-04-03,Michigan,83,1513
2020-04-03,Minnesota,1,53
2020-04-03,Mississippi,4,104
2020-04-03,Missouri,8,200
2020-04-03,Nebraska,1,36
2020-04-03,Nevada,7,184
2020-04-03,New Jersey,205,3335
2020-04-03,New Mexico,1,46
2020-04-03,New York,727,8558
2020-04-03,North Carolina,7,238
2020-04-03,Ohio,16,354
2020-04-03,Oklahoma,4,160
2020-04-03,Oregon,2,90
2020-04-03,Pennsylvania,16,1259
2020-04-03,Puerto Rico,1,30
2020-04-03,Rhode Island,1,79
2020-04-03,South Carolina,5,261
2020-04-03,Tennessee,12,80
2020-04-03,Texas,13,689
2020-04-03,Utah,2,198
2020-04-03,Vermont,1,17
2020-04-03,Virginia,7,223
2020-04-03,Washington,37,781
2020-04-03,West Virginia,1,25
2020-04-03,Wisconsin,13,192
2020-04-04,Alabama,6,235
2020-04-04,Arizona,9,173
2020-04-04,California,27,1226
2020-04-04,Colorado,14,445
2020-04-04,Connecticut,19,1090
2020-04-04,Delaware,2,57
2020-04-04,District of Columbia,3,104
2020-04-04,Florida,6,1260
2020-04-04,Georgia,21,483
2020-04-04,Hawaii,2,63
2020-04-04,Illinois,47,1209
2020-04-04,Indiana,24,399
2020-04-04,Kansas,5,76
2020-04-04,Louisiana,60,1148
2020-04-04,Maine,2,56
2020-04-04,Maryland,7,427
2020-04-04,Massachusetts,38,1486
2020-04-04,Michigan,65,1991
2020-04-04,Minnesota,4,46
2020-04-04,Mississippi,3,181
2020-04-04,Missouri,13,121
2020-04-04,Nebraska,1,33
2020-04-04,Nevada,5,51
2020-04-04,New Jersey,136,4305
2020-04-04,New Mexico,4,117
2020-04-04,New York,761,10481
2020-04-04,North Carolina,6,287
2020-04-04,Ohio,10,411
2020-04-04,Oklahoma,4,109
2020-04-04,Oregon,1,73
2020-04-04,Other,1,11
2020-04-04,Pennsylvania,12,1302
2020-04-04,South Carolina,3,146
2020-04-04,Tennessee,5,54
2020-04-04,Texas,17,665
2020-04-04,Virginia,5,306
2020-04-04,Washington,20,457
2020-04-04,Wisconsin,19,264
2020-04-05,Alabama,6,121
2020-04-05,Alaska,2,11
2020-04-05,Arizona,8,250
2020-04-05,Arkansas,2,39
2020-04-05,California,24,821
2020-04-05,Colorado,15,392
2020-04-05,Connecticut,34,362
2020-04-05,District of Columbia,6,145
2020-04-05,Florida,25,1269
2020-04-05,Georgia,17,329
2020-04-05,Idaho,1,131
2020-04-05,Illinois,34,1453
2020-04-05,Indiana,14,516
2020-04-05,Iowa,3,88
2020-04-05,Kentucky,6,147
2020-04-05,Louisiana,39,2199
2020-04-05,Maine,1,24
2020-04-05,Maryland,11,367
2020-04-05,Massachusetts,24,1163
2020-04-05,Michigan,67,1514
2020-04-05,Minnesota,2,77
2020-04-05,Mississippi,6,97
2020-04-05,Missouri,6,348
2020-04-05,Montana,1,22
2020-04-05,Nevada,3,228
2020-04-05,New Hampshire,2,61
2020-04-05,New Jersey,242,4229
2020-04-05,New Mexico,1,16
2020-04-05,New York,787,10846
2020-04-05,North Carolina,7,255
2020-04-05,Ohio,11,427
2020-04-05,Oklahoma,4,171
2020-04-05,Pennsylvania,34,1874
2020-04-05,Puerto Rico,3,136
2020-04-05,Rhode Island,10,95
2020-04-05,South Carolina,6,217
2020-04-05,Tennessee,9,255
2020-04-05,Texas,18,848
2020-04-05,Utah,1,180
2020-04-05,Vermont,3,72
2020-04-05,Virginia,6,395
2020-04-05,Washington,24,401
2020-04-05,Wisconsin,16,18
2020-04-06,Alabama,1,178
2020-04-06,Alaska,1,15
2020-04-06,Arizona,12,250
2020-04-06,Arkansas,2,94
2020-04-06,California,59,2197
2020-04-06,Colorado,14,385
2020-04-06,Connecticut,24,399
2020-04-06,District of Columbia,1,100
2020-04-06,Florida,26,813
2020-04-06,Georgia,10,487
2020-04-06,Hawaii,1,20
2020-04-06,Illinois,30,902
2020-04-06,Indiana,11,458
2020-04-06,Iowa,4,82
2020-04-06,Kansas,3,53
2020-04-06,Kentucky,5,38
2020-04-06,Louisiana,68,514
2020-04-06,Maryland,13,492
2020-04-06,Massachusetts,15,981
2020-04-06,Michigan,90,1533
2020-04-06,Minnesota,5,70
2020-04-06,Mississippi,8,183
2020-04-06,Missouri,13,96
2020-04-06,Nebraska,2,43
2020-04-06,New Hampshire,2,81
2020-04-06,New Jersey,126,3381
2020-04-06,New Mexico,1,118
2020-04-06,New York,910,9327
2020-04-06,North Carolina,4,256
2020-04-06,Ohio,17,304
2020-04-06,Oklahoma,4,93
2020-04-06,Oregon,5,169
2020-04-06,Other,1,21
2020-04-06,Pennsylvania,15,1145
2020-04-06,Puerto Rico,2,23
2020-04-06,Rhode Island,1,116
2020-04-06,South Carolina,4,132
2020-04-06,Tennessee,3,311
2020-04-06,Texas,27,627
2020-04-06,Vermont,2,51
2020-04-06,Washington,21,578
2020-04-06,West Virginia,1,42
2020-04-06,Wisconsin,4,290
2020-04-07,Alabama,4,174
2020-04-07,Arizona,1,191
2020-04-07,California,32,990
2020-04-07,Colorado,10,233
2020-04-07,Connecticut,17,1231
2020-04-07,Delaware,1,110
2020-04-07,District of Columbia,2,95
2020-04-07,Florida,15,974
2020-04-07,Georgia,18,667
2020-04-07,Hawaii,1,16
2020-04-07,Illinois,33,1003
2020-04-07,Indiana,16,545
2020-04-07,Iowa,7,77
2020-04-07,Kansas,3,98
2020-04-07,Louisiana,35,1857
2020-04-07,Maryland,24,428
2020-04-07,Massachusetts,29,1931
2020-04-07,Michigan,118,1552
2020-04-07,Minnesota,1,51
2020-04-07,Mississippi,8,100
2020-04-07,Missouri,8,462
2020-04-07,Nebraska,1,53
2020-04-07,New Jersey,152,3585
2020-04-07,New York,1061,8655
2020-04-07,North Carolina,7,262
2020-04-07,Ohio,23,410
2020-04-07,Oklahoma,5,75
2020-04-07,Pennsylvania,28,1538
2020-04-07,Puerto Rico,1,38
2020-04-07,Rhode Island,2,160
2020-04-07,South Carolina,4,183
2020-04-07,South Dakota,2,48
2020-04-07,Tennessee,12,169
2020-04-07,Texas,19,834
2020-04-07,Utah,5,77
2020-04-07,Vermont,1,31
2020-04-07,Virginia,14,238
2020-04-07,Washington,45,486
2020-04-07,West Virginia,1,21
2020-04-07,Wisconsin,10,129
2020-04-08,Alabama,15,229
2020-04-08,Arizona,8,115
2020-04-08,Arkansas,2,71
2020-04-08,California,52,1327
2020-04-08,Colorado,29,246
2020-04-08,Connecticut,71,875
2020-04-08,Delaware,1,145
2020-04-08,Florida,47,1221
2020-04-08,Georgia,100,1508
2020-04-08,Idaho,3,69
2020-04-08,Illinois,73,1291
2020-04-08,Indiana,30,554
2020-04-08,Kansas,10,63
2020-04-08,Kentucky,20,194
2020-04-08,Louisiana,70,1417
2020-04-08,Maine,2,20
2020-04-08,Maryland,12,326
2020-04-08,Massachusetts,96,2024
2020-04-08,Michigan,124,1824
2020-04-08,Minnesota,4,83
2020-04-08,Mississippi,9,177
2020-04-08,Missouri,20,297
2020-04-08,Nebraska,1,30
2020-04-08,Nevada,26,171
2020-04-08,New Jersey,296,3326
2020-04-08,New Mexico,1,108
2020-04-08,New York,1273,8060
2020-04-08,North Carolina,8,300
2020-04-08,North Dakota,1,12
2020-04-08,Ohio,25,329
2020-04-08,Oklahoma,16,145
2020-04-08,Oregon,2,64
2020-04-08,Other,1,8
2020-04-08,Pennsylvania,68,1726
2020-04-08,Puerto Rico,2,60
2020-04-08,Rhode Island,3,147
2020-04-08,South Carolina,3,185
2020-04-08,South Dakota,2,32
2020-04-08,Tennessee,7,337
2020-04-08,Texas,13,882
2020-04-08,Washington,19,381
2020-04-08,Wisconsin,7,129
2020-04-09,Alabama,2,306
2020-04-09,Alaska,1,13
2020-04-09,Arizona,16,151
2020-04-09,California,63,1546
2020-04-09,Colorado,14,226
2020-04-09,Delaware,3,188
2020-04-09,District of Columbia,5,229
2020-04-09,Florida,26,911
2020-04-09,Georgia,33,1079
2020-04-09,Idaho,2,40
2020-04-09,Illinois,82,1525
2020-04-09,Indiana,30,433
2020-04-09,Iowa,2,99
2020-04-09,Kansas,4,134
2020-04-09,Louisiana,70,746
2020-04-09,Maine,2,18
2020-04-09,Maryland,21,1158
2020-04-09,Massachusetts,77,1863
2020-04-09,Michigan,120,1432
2020-04-09,Minnesota,5,85
2020-04-09,Mississippi,7,88
2020-04-09,Missouri,15,184
2020-04-09,Nebraska,2,72
2020-04-09,New Hampshire,4,32
2020-04-09,New Jersey,341,3021
2020-04-09,New York,949,11186
2020-04-09,North Carolina,13,247
2020-04-09,Ohio,26,366
2020-04-09,Oklahoma,12,52
2020-04-09,Oregon,4,49
2020-04-09,Pennsylvania,71,1778
2020-04-09,Puerto Rico,1,47
2020-04-09,Rhode Island,5,221
2020-04-09,Tennessee,8,224
2020-04-09,Texas,26,884
2020-04-09,Washington,26,584
2020-04-09,Wisconsin,17,132
2020-04-10,Alabama,4,340
2020-04-10,Arizona,9,292
2020-04-10,Arkansas,3,119
2020-04-10,California,49,813
2020-04-10,Colorado,33,547
2020-04-10,Connecticut,54,2003
2020-04-10,Delaware,4,93
2020-04-10,District of Columbia,5,83
2020-04-10,Florida,45,908
2020-04-10,Georgia,17,665
2020-04-10,Hawaii,1,32
2020-04-10,Idaho,3,22
2020-04-10,Illinois,66,1344
2020-04-10,Indiana,42,408
2020-04-10,Iowa,2,125
2020-04-10,Kentucky,8,192
2020-04-10,Louisiana,50,1253
2020-04-10,Maine,2,23
2020-04-10,Maryland,14,656
2020-04-10,Massachusetts,70,1987
2020-04-10,Michigan,127,1221
2020-04-10,Minnesota,11,86
2020-04-10,Mississippi,9,257
2020-04-10,Missouri,16,243
2020-04-10,Nebraska,2,49
2020-04-10,Nevada,9,197
2020-04-10,New Hampshire,8,72
2020-04-10,New Jersey,276,3590
2020-04-10,New Mexico,3,44
2020-04-10,New York,1050,10718
2020-04-10,North Carolina,10,293
2020-04-10,North Dakota,1,18
2020-04-10,Ohio,20,364
2020-04-10,Oklahoma,1,160
2020-04-10,Oregon,11,140
2020-04-10,Pennsylvania,27,1669
2020-04-10,Puerto Rico,9,63
2020-04-10,Rhode Island,8,277
2020-04-10,South Carolina,16,376
2020-04-10,Tennessee,14,271
2020-04-10,Texas,26,1399
2020-04-10,Virginia,43,397
2020-04-10,Washington,30,363
2020-04-10,West Virginia,1,31
2020-04-10,Wisconsin,14,176
2020-04-11,Alabama,10,158
2020-04-11,Arizona,8,94
2020-04-11,California,39,1371
2020-04-11,Colorado,24,311
2020-04-11,Connecticut,68,754
2020-04-11,Delaware,9,117
2020-04-11,District of Columbia,6,137
2020-04-11,Florida,36,1167
2020-04-11,Georgia,37,919
2020-04-11,Idaho,6,122
2020-04-11,Illinois,69,1465
2020-04-11,Indiana,55,556
2020-04-11,Iowa,2,118
2020-04-11,Kansas,16,1
2020-04-11,Kentucky,17,352
2020-04-11,Louisiana,53,970
2020-04-11,Maine,1,26
2020-04-11,Maryland,33,783
2020-04-11,Massachusetts,96,2060
2020-04-11,Michigan,207,982
2020-04-11,Minnesota,7,96
2020-04-11,Mississippi,6,209
2020-04-11,Missouri,10,395
2020-04-11,Nebraska,1,67
