date,time,location,growth
2020-02-01,10,Alaska,0
2020-02-01,10,American Samoa,0
2020-02-01,10,Arizona,0
2020-02-01,10,Arkansas,0
2020-02-01,10,California,1
2020-02-01,10,Colorado,0
2020-02-01,10,Connecticut,0
2020-02-01,10,Delaware,0
2020-02-01,10,Diamond Princess,0
2020-02-01,10,District of Columbia,0
2020-02-01,10,Florida,0
2020-02-01,10,Georgia,0
2020-02-01,10,Grand Princess,0
2020-02-01,10,Guam,0
2020-02-01,10,Hawaii,0
2020-02-01,10,Idaho,0
2020-02-01,10,Illinois,1
2020-02-01,10,Indiana,0
2020-02-01,10,Iowa,0
2020-02-01,10,Kansas,0
2020-02-01,10,Kentucky,0
2020-02-01,10,Louisiana,0
2020-02-01,10,Maine,0
2020-02-01,10,Maryland,0
2020-02-01,10,Massachusetts,0
2020-02-01,10,Michigan,0
2020-02-01,10,Minnesota,0
2020-02-01,10,Mississippi,0
2020-02-01,10,Missouri,0
2020-02-01,10,Montana,0
2020-02-01,10,Nebraska,0
2020-02-01,10,Nevada,0
2020-02-01,10,New Hampshire,0
2020-02-01,10,New Jersey,0
2020-02-01,10,New Mexico,0
2020-02-01,10,New York,0
2020-02-01,10,North Carolina,0
2020-02-01,10,North Dakota,0
2020-02-01,10,Northern Mariana Islands,0
2020-02-01,10,Ohio,0
2020-02-01,10,Oklahoma,0
2020-02-01,10,Oregon,0
2020-02-01,10,Pennsylvania,0
2020-02-01,10,Puerto Rico,0
2020-02-01,10,Rhode Island,0
2020-02-01,10,South Carolina,0
2020-02-01,10,South Dakota,0
2020-02-01,10,Tennessee,0
2020-02-01,10,Texas,0
2020-02-01,10,Utah,0
2020-02-01,10,Vermont,0
2020-02-01,10,Virgin Islands,0
2020-02-01,10,Virginia,0
2020-02-01,10,Washington,0
2020-02-01,10,West Virginia,0
2020-02-01,10,Wisconsin,0
2020-02-01,10,Wyoming,0
2020-02-02,11,Alabama,0
2020-02-02,11,Alaska,0
2020-02-02,11,American Samoa,0
2020-02-02,11,Arizona,0
2020-02-02,11,Arkansas,0
2020-02-02,11,California,0
2020-02-02,11,Colorado,0
2020-02-02,11,Connecticut,0
2020-02-02,11,Delaware,0
2020-02-02,11,Diamond Princess,0
2020-02-02,11,District of Columbia,0
2020-02-02,11,Florida,0
2020-02-02,11,Georgia,0
2020-02-02,11,Grand Princess,0
2020-02-02,11,Guam,0
2020-02-02,11,Hawaii,0
2020-02-02,11,Idaho,0
2020-02-02,11,Illinois,0
2020-02-02,11,Indiana,0
2020-02-02,11,Iowa,0
2020-02-02,11,Kansas,0
2020-02-02,11,Kentucky,0
2020-02-02,11,Louisiana,0
2020-02-02,11,Maine,0
2020-02-02,11,Maryland,0
2020-02-02,11,Massachusetts,0
2020-02-02,11,Michigan,0
2020-02-02,11,Minnesota,0
2020-02-02,11,Mississippi,0
2020-02-02,11,Missouri,0
2020-02-02,11,Montana,0
2020-02-02,11,Nebraska,0
2020-02-02,11,Nevada,0
2020-02-02,11,New Hampshire,0
2020-02-02,11,New Jersey,0
2020-02-02,11,New Mexico,0
2020-02-02,11,New York,0
2020-02-02,11,North Carolina,0
2020-02-02,11,North Dakota,0
2020-02-02,11,Northern Mariana Islands,0
2020-02-02,11,Ohio,0
2020-02-02,11,Oklahoma,0
2020-02-02,11,Oregon,0
2020-02-02,11,Pennsylvania,0
2020-02-02,11,Puerto Rico,0
2020-02-02,11,Rhode Island,0
2020-02-02,11,South Carolina,0
2020-02-02,11,South Dakota,0
2020-02-02,11,Tennessee,0
2020-02-02,11,Texas,0
2020-02-02,11,Utah,0
2020-02-02,11,Vermont,0
2020-02-02,11,Virgin Islands,0
2020-02-02,11,Virginia,0
2020-02-02,11,Washington,0
2020-02-02,11,West Virginia,0
2020-02-02,11,Wisconsin,0
2020-02-02,11,Wyoming,0
2020-02-03,12,Alabama,0
2020-02-03,12,Alaska,0
2020-02-03,12,American Samoa,0
2020-02-03,12,Arizona,0
2020-02-03,12,Arkansas,0
2020-02-03,12,California,0
2020-02-03,12,Colorado,0
2020-02-03,12,Connecticut,0
2020-02-03,12,Delaware,0
2020-02-03,12,Diamond Princess,0
2020-02-03,12,District of Columbia,0
2020-02-03,12,Florida,0
2020-02-03,12,Georgia,0
2020-02-03,12,Grand Princess,0
2020-02-03,12,Guam,0
2020-02-03,12,Hawaii,0
2020-02-03,12,Idaho,0
2020-02-03,12,Illinois,0
2020-02-03,12,Indiana,0
2020-02-03,12,Iowa,0
2020-02-03,12,Kansas,0
2020-02-03,12,Kentucky,0
2020-02-03,12,Louisiana,0
2020-02-03,12,Maine,0
2020-02-03,12,Maryland,0
2020-02-03,12,Massachusetts,0
2020-02-03,12,Michigan,0
2020-02-03,12,Minnesota,0
2020-02-03,12,Mississippi,0
2020-02-03,12,Missouri,0
2020-02-03,12,Montana,0
2020-02-03,12,Nebraska,0
2020-02-03,12,Nevada,0
2020-02-03,12,New Hampshire,0
2020-02-03,12,New Jersey,0
2020-02-03,12,New Mexico,0
2020-02-03,12,New York,0
2020-02-03,12,North Carolina,0
2020-02-03,12,North Dakota,0
2020-02-03,12,Northern Mariana Islands,0
2020-02-03,12,Ohio,0
2020-02-03,12,Oklahoma,0
2020-02-03,12,Oregon,0
2020-02-03,12,Pennsylvania,0
2020-02-03,12,Puerto Rico,0
2020-02-03,12,Rhode Island,0
2020-02-03,12,South Carolina,0
2020-02-03,12,South Dakota,0
2020-02-03,12,Tennessee,0
2020-02-03,12,Texas,0
2020-02-03,12,Utah,0
2020-02-03,12,Vermont,0
2020-02-03,12,Virgin Islands,0
2020-02-03,12,Virginia,0
2020-02-03,12,Washington,0
2020-02-03,12,West Virginia,0
2020-02-03,12,Wisconsin,0
2020-02-03,12,Wyoming,0
2020-02-04,13,Alabama,0
2020-02-04,13,Alaska,0
2020-02-04,13,American Samoa,0
2020-02-04,13,Arizona,0
2020-02-04,13,Arkansas,0
2020-02-04,13,California,3
2020-02-04,13,Colorado,0
2020-02-04,13,Connecticut,0
2020-02-04,13,Delaware,0
2020-02-04,13,Diamond Princess,0
2020-02-04,13,District of Columbia,0
2020-02-04,13,Florida,0
2020-02-04,13,Georgia,0
2020-02-04,13,Grand Princess,0
2020-02-04,13,Guam,0
2020-02-04,13,Hawaii,0
2020-02-04,13,Idaho,0
2020-02-04,13,Illinois,0
2020-02-04,13,Indiana,0
2020-02-04,13,Iowa,0
2020-02-04,13,Kansas,0
2020-02-04,13,Kentucky,0
2020-02-04,13,Louisiana,0
2020-02-04,13,Maine,0
2020-02-04,13,Maryland,0
2020-02-04,13,Massachusetts,0
2020-02-04,13,Michigan,0
2020-02-04,13,Minnesota,0
2020-02-04,13,Mississippi,0
2020-02-04,13,Missouri,0
2020-02-04,13,Montana,0
2020-02-04,13,Nebraska,0
2020-02-04,13,Nevada,0
2020-02-04,13,New Hampshire,0
2020-02-04,13,New Jersey,0
2020-02-04,13,New Mexico,0
2020-02-04,13,New York,0
2020-02-04,13,North Carolina,0
2020-02-04,13,North Dakota,0
2020-02-04,13,Northern Mariana Islands,0
2020-02-04,13,Ohio,0
2020-02-04,13,Oklahoma,0
2020-02-04,13,Oregon,0
2020-02-04,13,Pennsylvania,0
2020-02-04,13,Puerto Rico,0
2020-02-04,13,Rhode Island,0
2020-02-04,13,South Carolina,0
2020-02-04,13,South Dakota,0
2020-02-04,13,Tennessee,0
2020-02-04,13,Texas,0
2020-02-04,13,Utah,0
2020-02-04,13,Vermont,0
2020-02-04,13,Virgin Islands,0
2020-02-04,13,Virginia,0
2020-02-04,13,Washington,0
2020-02-04,13,West Virginia,0
2020-02-04,13,Wisconsin,0
2020-02-04,13,Wyoming,0
2020-02-05,14,Alabama,0
2020-02-05,14,Alaska,0
2020-02-05,14,American Samoa,0
2020-02-05,14,Arizona,0
2020-02-05,14,Arkansas,0
2020-02-05,14,California,0
2020-02-05,14,Colorado,0
2020-02-05,14,Connecticut,0
2020-02-05,14,Delaware,0
2020-02-05,14,Diamond Princess,0
2020-02-05,14,District of Columbia,0
2020-02-05,14,Florida,0
2020-02-05,14,Georgia,0
2020-02-05,14,Grand Princess,0
2020-02-05,14,Guam,0
2020-02-05,14,Hawaii,0
2020-02-05,14,Idaho,0
2020-02-05,14,Illinois,0
2020-02-05,14,Indiana,0
2020-02-05,14,Iowa,0
2020-02-05,14,Kansas,0
2020-02-05,14,Kentucky,0
2020-02-05,14,Louisiana,0
2020-02-05,14,Maine,0
2020-02-05,14,Maryland,0
2020-02-05,14,Massachusetts,0
2020-02-05,14,Michigan,0
2020-02-05,14,Minnesota,0
2020-02-05,14,Mississippi,0
2020-02-05,14,Missouri,0
2020-02-05,14,Montana,0
2020-02-05,14,Nebraska,0
2020-02-05,14,Nevada,0
2020-02-05,14,New Hampshire,0
2020-02-05,14,New Jersey,0
2020-02-05,14,New Mexico,0
2020-02-05,14,New York,0
2020-02-05,14,North Carolina,0
2020-02-05,14,North Dakota,0
2020-02-05,14,Northern Mariana Islands,0
2020-02-05,14,Ohio,0
2020-02-05,14,Oklahoma,0
2020-02-05,14,Oregon,0
2020-02-05,14,Pennsylvania,0
2020-02-05,14,Puerto Rico,0
2020-02-05,14,Rhode Island,0
2020-02-05,14,South Carolina,0
2020-02-05,14,South Dakota,0
2020-02-05,14,Tennessee,0
2020-02-05,14,Texas,0
2020-02-05,14,Utah,0
2020-02-05,14,Vermont,0
2020-02-05,14,Virgin Islands,0
2020-02-05,14,Virginia,0
2020-02-05,14,Washington,0
2020-02-05,14,West Virginia,0
2020-02-05,14,Wisconsin,0
2020-02-05,14,Wyoming,0
2020-02-06,15,Alabama,0
2020-02-06,15,Alaska,0
2020-02-06,15,American Samoa,0
2020-02-06,15,Arizona,0
2020-02-06,15,Arkansas,0
2020-02-06,15,California,0
2020-02-06,15,Colorado,0
2020-02-06,15,Connecticut,0
2020-02-06,15,Delaware,0
2020-02-06,15,Diamond Princess,0
2020-02-06,15,District of Columbia,0
2020-02-06,15,Florida,0
2020-02-06,15,Georgia,0
2020-02-06,15,Grand Princess,0
2020-02-06,15,Guam,0
2020-02-06,15,Hawaii,0
2020-02-06,15,Idaho,0
2020-02-06,15,Illinois,0
2020-02-06,15,Indiana,0
2020-02-06,15,Iowa,0
2020-02-06,15,Kansas,0
2020-02-06,15,Kentucky,0
2020-02-06,15,Louisiana,0
2020-02-06,15,Maine,0
2020-02-06,15,Maryland,0
2020-02-06,15,Massachusetts,0
2020-02-06,15,Michigan,0
2020-02-06,15,Minnesota,0
2020-02-06,15,Mississippi,0
2020-02-06,15,Missouri,0
2020-02-06,15,Montana,0
2020-02-06,15,Nebraska,0
2020-02-06,15,Nevada,0
2020-02-06,15,New Hampshire,0
2020-02-06,15,New Jersey,0
2020-02-06,15,New Mexico,0
2020-02-06,15,New York,0
2020-02-06,15,North Carolina,0
2020-02-06,15,North Dakota,0
2020-02-06,15,Northern Mariana Islands,0
2020-02-06,15,Ohio,0
2020-02-06,15,Oklahoma,0
2020-02-06,15,Oregon,0
2020-02-06,15,Pennsylvania,0
2020-02-06,15,Puerto Rico,0
2020-02-06,15,Rhode Island,0
2020-02-06,15,South Carolina,0
2020-02-06,15,South Dakota,0
2020-02-06,15,Tennessee,0
2020-02-06,15,Texas,0
2020-02-06,15,Utah,0
